"","entorhinal","parahippocampal","temporalpole","fusiform","superiortemporal","middletemporal","inferiortemporal","transversetemporal","bankssts","insula","lingual","pericalcarine","cuneus","lateraloccipital","superiorfrontal","caudalmiddlefrontal","rostralmiddlefrontal","parstriangularis","parsorbitalis","parsopercularis","lateralorbitofrontal","medialorbitofrontal","frontalpole","paracentral","precentral","postcentral","supramarginal","superiorparietal","inferiorparietal","precuneus","rostralanteriorcingulate","caudalanteriorcingulate","posteriorcingulate","isthmuscingulate","entorhinal","parahippocampal","temporalpole","fusiform","superiortemporal","middletemporal","inferiortemporal","transversetemporal","bankssts","insula","lingual","pericalcarine","cuneus","lateraloccipital","superiorfrontal","caudalmiddlefrontal","rostralmiddlefrontal","parstriangularis","parsorbitalis","parsopercularis","lateralorbitofrontal","medialorbitofrontal","frontalpole","paracentral","precentral","postcentral","supramarginal","superiorparietal","inferiorparietal","precuneus","rostralanteriorcingulate","caudalanteriorcingulate","posteriorcingulate","isthmuscingulate","entorhinal","parahippocampal","temporalpole","fusiform","superiortemporal","middletemporal","inferiortemporal","transversetemporal","bankssts","insula","lingual","pericalcarine","cuneus","lateraloccipital","superiorfrontal","caudalmiddlefrontal","rostralmiddlefrontal","parstriangularis","parsorbitalis","parsopercularis","lateralorbitofrontal","medialorbitofrontal","frontalpole","paracentral","precentral","postcentral","supramarginal","superiorparietal","inferiorparietal","precuneus","rostralanteriorcingulate","caudalanteriorcingulate","posteriorcingulate","isthmuscingulate","entorhinal","parahippocampal","temporalpole","fusiform","superiortemporal","middletemporal","inferiortemporal","transversetemporal","bankssts","insula","lingual","pericalcarine","cuneus","lateraloccipital","superiorfrontal","caudalmiddlefrontal","rostralmiddlefrontal","parstriangularis","parsorbitalis","parsopercularis","lateralorbitofrontal","medialorbitofrontal","frontalpole","paracentral","precentral","postcentral","supramarginal","superiorparietal","inferiorparietal","precuneus","rostralanteriorcingulate","caudalanteriorcingulate","posteriorcingulate","isthmuscingulate","Thalamus-Proper","Caudate","Putamen","Pallidum","Hippocampus","Amygdala","Accumbens-area","Thalamus-Proper","Caudate","Putamen","Pallidum","Hippocampus","Amygdala","Accumbens-area","Thalamus-Proper","Caudate","Putamen","Pallidum","Hippocampus","Amygdala","Accumbens-area","Thalamus-Proper","Caudate","Putamen","Pallidum","Hippocampus","Amygdala","Accumbens-area"
"Haematocrit %","0.0693 (p=2.3e-01)","0.0783 (p=1.7e-01)","0.0643 (p=2.1e-01)","0.0971 (p=2.1e-01)","0.257 (p=2.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.0393 (p=3.0e-01)","6.8e-05 (p=5.0e-01)","0.596 (p=3.6e-03)","0.266 (p=1.3e-01)","0.0343 (p=3.3e-01)","6.8e-05 (p=5.0e-01)","1.12 (p=8.7e-05)","0.519 (p=2.2e-02)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.042 (p=4.1e-01)","6.8e-05 (p=5.0e-01)","0.0226 (p=4.2e-01)","0.198 (p=1.8e-01)","6.8e-05 (p=5.0e-01)","0.134 (p=1.4e-01)","0.0133 (p=4.1e-01)","0.0588 (p=3.6e-01)","0.46 (p=8.0e-02)","6.8e-05 (p=5.0e-01)","0.236 (p=3.3e-01)","0.0153 (p=4.6e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.161 (p=1.6e-01)","0.302 (p=4.3e-02)","0.0334 (p=3.4e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.0671 (p=2.7e-01)","6.8e-05 (p=5.0e-01)","0.0365 (p=3.9e-01)","0.0977 (p=3.1e-01)","6.8e-05 (p=5.0e-01)","0.138 (p=1.1e-01)","0.555 (p=2.7e-03)","0.236 (p=1.4e-01)","0.313 (p=3.5e-02)","0.0254 (p=4.4e-01)","0.265 (p=5.6e-02)","0.1 (p=2.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.266 (p=8.5e-02)","0.0779 (p=2.7e-01)","0.379 (p=8.7e-02)","0.47 (p=3.9e-02)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.0109 (p=4.7e-01)","0.198 (p=2.1e-01)","6.8e-05 (p=5.0e-01)","0.0949 (p=3.1e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.00599 (p=4.8e-01)","0.0973 (p=2.1e-01)","6.8e-05 (p=5.0e-01)","0.565 (p=3.5e-02)","0.179 (p=3.7e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.00864 (p=4.9e-01)","0.859 (p=2.5e-01)","0.0755 (p=3.7e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","3.14 (p=5.3e-02)","2.16 (p=8.3e-02)","0.135 (p=3.4e-01)","6.8e-05 (p=5.0e-01)","1.01 (p=5.3e-02)","6.8e-05 (p=5.0e-01)","2.57 (p=3.3e-02)","6.8e-05 (p=5.0e-01)","0.0604 (p=4.1e-01)","0.931 (p=1.3e-01)","1.63 (p=3.8e-02)","6.8e-05 (p=5.0e-01)","0.124 (p=3.4e-01)","1.42 (p=2.1e-02)","3.72 (p=2.2e-03)","2.38 (p=1.6e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","1.28 (p=6.0e-02)","1.11 (p=3.0e-01)","6.8e-05 (p=5.0e-01)","1.07 (p=1.8e-01)","0.00184 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.649 (p=1.4e-01)","0.0429 (p=4.4e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.01 (p=1.5e-05)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","1.33 (p=1.6e-01)","0.773 (p=1.1e-01)","1.1 (p=2.1e-01)","6.8e-05 (p=5.0e-01)","0.712 (p=1.6e-01)","0.449 (p=3.2e-01)","0.838 (p=6.5e-02)","1.99 (p=7.1e-02)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","1.92 (p=2.9e-02)","0.38 (p=1.8e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.339 (p=2.7e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.25 (p=2.0e-02)","0.301 (p=5.0e-01)","0.0709 (p=2.2e-01)","6.8e-05 (p=5.0e-01)","0.55 (p=9.8e-04)","0.242 (p=5.3e-03)","0.265 (p=3.2e-03)","1.46 (p=1.2e-02)","6.8e-05 (p=5.0e-01)","0.133 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.371 (p=2.8e-02)","0.138 (p=5.0e-02)","0.4 (p=5.0e-02)","0.0728 (p=2.5e-01)","0.286 (p=2.1e-01)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.479 (p=1.4e-03)","0.308 (p=5.6e-03)","0.0992 (p=7.5e-02)","6.8e-05 (p=5.0e-01)","6.8e-05 (p=5.0e-01)","0.481 (p=1.9e-01)","6.8e-05 (p=5.0e-01)","0.388 (p=4.1e-03)","0.0865 (p=1.2e-01)","6.8e-05 (p=5.0e-01)"
"Haemoglobin concentration","0.00703 (p=4.7e-01)","0.0214 (p=3.8e-01)","0.011 (p=4.4e-01)","0.0113 (p=4.6e-01)","0.138 (p=3.5e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.12 (p=1.0e-01)","6.45e-05 (p=5.0e-01)","0.255 (p=1.2e-01)","0.0667 (p=3.5e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","1.15 (p=1.1e-04)","0.801 (p=2.0e-02)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.148 (p=2.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.254 (p=3.9e-02)","0.0141 (p=4.2e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.266 (p=1.4e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.00768 (p=4.5e-01)","0.196 (p=1.5e-01)","0.277 (p=5.4e-02)","6.45e-05 (p=5.0e-01)","0.104 (p=2.9e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.00348 (p=4.8e-01)","0.432 (p=1.8e-02)","6.45e-05 (p=5.0e-01)","0.207 (p=8.9e-02)","0.00968 (p=4.7e-01)","0.165 (p=1.9e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.445 (p=5.8e-02)","0.212 (p=2.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.136 (p=3.6e-01)","0.317 (p=9.6e-02)","6.45e-05 (p=5.0e-01)","0.0957 (p=3.5e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.0287 (p=3.8e-01)","6.45e-05 (p=5.0e-01)","0.0747 (p=2.6e-01)","6.45e-05 (p=5.0e-01)","0.443 (p=7.7e-02)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.031 (p=4.4e-01)","6.45e-05 (p=5.0e-01)","0.0579 (p=4.2e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.661 (p=1.5e-01)","0.994 (p=6.5e-02)","0.313 (p=3.7e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.842 (p=9.5e-02)","1.05 (p=1.6e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.604 (p=9.5e-02)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.0117 (p=4.9e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","2.97 (p=1.6e-02)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.166 (p=2.7e-01)","0.00361 (p=4.9e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.131 (p=2.7e-01)","0.549 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.699 (p=2.5e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.0521 (p=4.1e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.162 (p=4.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.265 (p=3.2e-02)","0.37 (p=2.4e-01)","0.0115 (p=4.3e-01)","6.45e-05 (p=5.0e-01)","0.538 (p=3.3e-03)","0.128 (p=5.0e-02)","0.171 (p=5.8e-02)","1.83 (p=9.8e-04)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.397 (p=2.7e-02)","0.0568 (p=2.0e-01)","0.222 (p=1.7e-01)","0.0701 (p=3.3e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.0436 (p=2.3e-01)","0.409 (p=1.3e-02)","0.0817 (p=1.2e-01)","0.0279 (p=2.9e-01)","6.45e-05 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.323 (p=5.0e-01)","6.45e-05 (p=5.0e-01)","0.345 (p=9.8e-03)","0.0379 (p=2.9e-01)","6.45e-05 (p=5.0e-01)"
"White blood cell count","9.46e-05 (p=5.0e-01)","0.181 (p=1.5e-01)","9.46e-05 (p=5.0e-01)","0.335 (p=1.3e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.323 (p=1.1e-01)","0.686 (p=2.8e-02)","0.488 (p=8.5e-03)","0.0171 (p=4.4e-01)","0.0973 (p=3.2e-01)","1.03 (p=2.5e-02)","0.403 (p=1.7e-01)","0.00899 (p=4.8e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.0589 (p=4.4e-01)","9.46e-05 (p=5.0e-01)","0.211 (p=1.2e-01)","0.413 (p=4.4e-02)","0.803 (p=8.2e-03)","1.02 (p=1.2e-03)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.123 (p=4.3e-01)","0.439 (p=1.0e-01)","9.46e-05 (p=5.0e-01)","0.0857 (p=2.0e-01)","0.154 (p=2.0e-01)","0.485 (p=2.6e-02)","9.46e-05 (p=5.0e-01)","0.371 (p=3.7e-03)","9.46e-05 (p=5.0e-01)","0.546 (p=8.1e-03)","0.565 (p=8.5e-02)","0.174 (p=2.6e-01)","0.523 (p=8.2e-02)","9.46e-05 (p=5.0e-01)","0.318 (p=1.0e-01)","0.815 (p=5.5e-03)","0.317 (p=7.8e-02)","0.0816 (p=2.8e-01)","0.0209 (p=4.5e-01)","9.46e-05 (p=5.0e-01)","0.309 (p=2.9e-01)","9.46e-05 (p=5.0e-01)","0.219 (p=2.7e-01)","0.225 (p=1.4e-01)","0.0835 (p=3.0e-01)","9.46e-05 (p=5.0e-01)","0.134 (p=3.1e-01)","0.367 (p=6.9e-02)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.0438 (p=4.2e-01)","0.624 (p=1.6e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.0208 (p=4.2e-01)","0.281 (p=1.2e-01)","0.872 (p=1.4e-03)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.341 (p=3.6e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.0698 (p=4.2e-01)","9.46e-05 (p=5.0e-01)","0.937 (p=7.4e-02)","9.46e-05 (p=5.0e-01)","0.978 (p=2.9e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.059 (p=4.6e-01)","0.154 (p=3.8e-01)","3.28 (p=1.1e-02)","9.46e-05 (p=5.0e-01)","0.38 (p=2.4e-01)","9.46e-05 (p=5.0e-01)","2 (p=6.9e-02)","0.815 (p=3.1e-02)","9.46e-05 (p=5.0e-01)","0.921 (p=1.9e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.663 (p=8.6e-02)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","1.45 (p=3.0e-02)","1.13 (p=9.5e-02)","0.0695 (p=4.6e-01)","0.146 (p=3.6e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","3.01 (p=1.6e-02)","9.46e-05 (p=5.0e-01)","0.109 (p=4.3e-01)","5.28 (p=1.3e-02)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.166 (p=3.3e-01)","9.46e-05 (p=5.0e-01)","0.174 (p=2.7e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.0843 (p=3.7e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","3.5 (p=2.4e-02)","0.0916 (p=4.4e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.688 (p=2.6e-01)","9.46e-05 (p=5.0e-01)","4.09 (p=3.6e-02)","9.46e-05 (p=5.0e-01)","0.232 (p=1.9e-01)","0.166 (p=2.7e-01)","0.511 (p=2.7e-01)","0.0381 (p=4.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.67 (p=1.4e-02)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.637 (p=1.3e-01)","9.46e-05 (p=5.0e-01)","0.13 (p=2.5e-01)","9.46e-05 (p=5.0e-01)","1.5 (p=3.1e-02)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.563 (p=2.1e-02)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.00114 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","9.46e-05 (p=5.0e-01)","0.0245 (p=4.5e-01)","0.0385 (p=3.4e-01)","9.46e-05 (p=5.0e-01)"
"Fluid intelligence","0.0212 (p=4.2e-01)","9.49e-05 (p=5.0e-01)","0.0469 (p=1.8e-01)","0.106 (p=1.8e-01)","0.428 (p=1.9e-02)","0.0749 (p=2.8e-01)","0.444 (p=3.5e-03)","0.0726 (p=1.3e-01)","9.49e-05 (p=5.0e-01)","0.514 (p=2.2e-04)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.0264 (p=4.1e-01)","0.304 (p=1.1e-01)","0.0421 (p=3.5e-01)","9.49e-05 (p=5.0e-01)","0.0392 (p=2.9e-01)","0.0312 (p=3.5e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.000474 (p=5.0e-01)","0.0522 (p=2.9e-01)","9.49e-05 (p=5.0e-01)","0.318 (p=4.1e-02)","0.028 (p=4.2e-01)","9.49e-05 (p=5.0e-01)","0.291 (p=9.1e-02)","0.149 (p=1.8e-01)","0.291 (p=1.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.134 (p=8.3e-02)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.0797 (p=1.1e-01)","0.0265 (p=2.9e-01)","0.164 (p=1.7e-01)","0.182 (p=1.5e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.0975 (p=2.9e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.409 (p=1.2e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.0988 (p=1.5e-01)","9.49e-05 (p=5.0e-01)","0.468 (p=1.2e-02)","0.203 (p=1.2e-01)","0.0323 (p=2.8e-01)","9.49e-05 (p=5.0e-01)","0.134 (p=3.2e-01)","0.0107 (p=4.6e-01)","9.49e-05 (p=5.0e-01)","0.514 (p=3.0e-03)","9.49e-05 (p=5.0e-01)","0.316 (p=7.4e-02)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.52 (p=2.9e-02)","0.177 (p=2.2e-01)","9.49e-05 (p=5.0e-01)","0.759 (p=3.4e-02)","0.429 (p=1.4e-01)","9.49e-05 (p=5.0e-01)","0.0963 (p=3.1e-01)","0.0667 (p=3.2e-01)","0.334 (p=1.5e-01)","0.756 (p=6.1e-02)","9.49e-05 (p=5.0e-01)","0.0417 (p=3.4e-01)","0.0233 (p=4.2e-01)","0.0194 (p=4.7e-01)","2.66 (p=3.4e-04)","9.49e-05 (p=5.0e-01)","0.624 (p=1.5e-01)","0.557 (p=2.0e-02)","0.705 (p=6.1e-03)","0.667 (p=8.6e-02)","1.39 (p=2.4e-02)","9.49e-05 (p=5.0e-01)","0.203 (p=8.4e-02)","0.682 (p=2.5e-02)","0.305 (p=3.6e-01)","0.0814 (p=4.1e-01)","9.49e-05 (p=5.0e-01)","0.178 (p=2.5e-01)","9.49e-05 (p=5.0e-01)","0.988 (p=5.0e-02)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.411 (p=1.9e-01)","0.00607 (p=4.9e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.19 (p=2.3e-01)","0.718 (p=3.1e-02)","2.5 (p=4.3e-04)","1.37 (p=1.5e-01)","0.707 (p=2.5e-01)","0.143 (p=2.3e-01)","9.49e-05 (p=5.0e-01)","0.297 (p=2.1e-01)","9.49e-05 (p=5.0e-01)","0.842 (p=1.6e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.161 (p=5.0e-01)","0.427 (p=8.1e-02)","0.309 (p=6.3e-02)","0.28 (p=1.6e-01)","9.49e-05 (p=5.0e-01)","9.49e-05 (p=5.0e-01)","0.114 (p=2.5e-01)","0.197 (p=2.9e-01)","0.899 (p=1.3e-01)","0.601 (p=9.6e-02)","1.33 (p=7.5e-02)","0.279 (p=1.8e-01)","9.49e-05 (p=5.0e-01)","1.98 (p=4.3e-02)","1.05 (p=3.6e-02)","9.49e-05 (p=5.0e-01)","0.391 (p=1.8e-01)","9.49e-05 (p=5.0e-01)","1.29 (p=5.2e-06)","0.144 (p=8.1e-02)","1.49 (p=1.0e-06)","1.28 (p=2.6e-04)","0.381 (p=2.9e-02)","0.392 (p=4.9e-03)","0.48 (p=1.7e-02)","1.35 (p=2.9e-09)","0.778 (p=1.2e-04)","0.974 (p=6.9e-06)","0.369 (p=3.5e-02)","0.457 (p=1.5e-02)","0.53 (p=1.3e-02)","0.206 (p=6.2e-02)","2.41 (p=1.6e-10)","0.132 (p=2.5e-01)","1.06 (p=1.7e-05)","0.205 (p=8.9e-03)","0.0968 (p=7.4e-02)","0.0109 (p=4.1e-01)","0.454 (p=1.7e-02)","0.521 (p=3.8e-07)","0.206 (p=8.4e-02)","0.442 (p=7.7e-03)","0.141 (p=1.8e-01)","0.647 (p=1.3e-04)","0.102 (p=2.3e-01)","0.186 (p=6.0e-03)"
