subcv ProbeID subcvName rgbx rgby rgbz A
10 10_118 Left-Thalamus-Proper 0 118 14 0
10 10_119 Left-Thalamus-Proper 0 118 14 0
10 10_120 Left-Thalamus-Proper 0 118 14 0
10 10_121 Left-Thalamus-Proper 0 118 14 0
10 10_122 Left-Thalamus-Proper 0 118 14 0
10 10_123 Left-Thalamus-Proper 0 118 14 0
10 10_124 Left-Thalamus-Proper 0 118 14 0
10 10_125 Left-Thalamus-Proper 0 118 14 0
10 10_126 Left-Thalamus-Proper 0 118 14 0
10 10_127 Left-Thalamus-Proper 0 118 14 0
10 10_128 Left-Thalamus-Proper 0 118 14 0
10 10_129 Left-Thalamus-Proper 0 118 14 0
10 10_130 Left-Thalamus-Proper 0 118 14 0
10 10_131 Left-Thalamus-Proper 0 118 14 0
10 10_132 Left-Thalamus-Proper 0 118 14 0
10 10_133 Left-Thalamus-Proper 0 118 14 0
10 10_134 Left-Thalamus-Proper 0 118 14 0
10 10_135 Left-Thalamus-Proper 0 118 14 0
10 10_136 Left-Thalamus-Proper 0 118 14 0
10 10_137 Left-Thalamus-Proper 0 118 14 0
10 10_138 Left-Thalamus-Proper 0 118 14 0
10 10_139 Left-Thalamus-Proper 0 118 14 0
10 10_140 Left-Thalamus-Proper 0 118 14 0
10 10_141 Left-Thalamus-Proper 0 118 14 0
10 10_142 Left-Thalamus-Proper 0 118 14 0
10 10_143 Left-Thalamus-Proper 0 118 14 0
10 10_144 Left-Thalamus-Proper 0 118 14 0
10 10_145 Left-Thalamus-Proper 0 118 14 0
10 10_146 Left-Thalamus-Proper 0 118 14 0
10 10_147 Left-Thalamus-Proper 0 118 14 0
10 10_148 Left-Thalamus-Proper 0 118 14 0
10 10_149 Left-Thalamus-Proper 0 118 14 0
10 10_150 Left-Thalamus-Proper 0 118 14 0
10 10_151 Left-Thalamus-Proper 0 118 14 0
10 10_152 Left-Thalamus-Proper 0 118 14 0
10 10_153 Left-Thalamus-Proper 0 118 14 0
10 10_154 Left-Thalamus-Proper 0 118 14 0
10 10_155 Left-Thalamus-Proper 0 118 14 0
10 10_156 Left-Thalamus-Proper 0 118 14 0
10 10_157 Left-Thalamus-Proper 0 118 14 0
10 10_158 Left-Thalamus-Proper 0 118 14 0
10 10_159 Left-Thalamus-Proper 0 118 14 0
10 10_160 Left-Thalamus-Proper 0 118 14 0
10 10_161 Left-Thalamus-Proper 0 118 14 0
10 10_162 Left-Thalamus-Proper 0 118 14 0
10 10_163 Left-Thalamus-Proper 0 118 14 0
10 10_164 Left-Thalamus-Proper 0 118 14 0
10 10_165 Left-Thalamus-Proper 0 118 14 0
10 10_166 Left-Thalamus-Proper 0 118 14 0
10 10_167 Left-Thalamus-Proper 0 118 14 0
10 10_168 Left-Thalamus-Proper 0 118 14 0
10 10_169 Left-Thalamus-Proper 0 118 14 0
10 10_170 Left-Thalamus-Proper 0 118 14 0
10 10_171 Left-Thalamus-Proper 0 118 14 0
10 10_172 Left-Thalamus-Proper 0 118 14 0
10 10_173 Left-Thalamus-Proper 0 118 14 0
10 10_174 Left-Thalamus-Proper 0 118 14 0
10 10_175 Left-Thalamus-Proper 0 118 14 0
10 10_176 Left-Thalamus-Proper 0 118 14 0
10 10_177 Left-Thalamus-Proper 0 118 14 0
10 10_178 Left-Thalamus-Proper 0 118 14 0
10 10_179 Left-Thalamus-Proper 0 118 14 0
10 10_180 Left-Thalamus-Proper 0 118 14 0
10 10_181 Left-Thalamus-Proper 0 118 14 0
10 10_182 Left-Thalamus-Proper 0 118 14 0
10 10_183 Left-Thalamus-Proper 0 118 14 0
10 10_184 Left-Thalamus-Proper 0 118 14 0
10 10_185 Left-Thalamus-Proper 0 118 14 0
10 10_186 Left-Thalamus-Proper 0 118 14 0
10 10_187 Left-Thalamus-Proper 0 118 14 0
10 10_188 Left-Thalamus-Proper 0 118 14 0
10 10_189 Left-Thalamus-Proper 0 118 14 0
10 10_190 Left-Thalamus-Proper 0 118 14 0
10 10_191 Left-Thalamus-Proper 0 118 14 0
10 10_192 Left-Thalamus-Proper 0 118 14 0
10 10_193 Left-Thalamus-Proper 0 118 14 0
10 10_194 Left-Thalamus-Proper 0 118 14 0
10 10_195 Left-Thalamus-Proper 0 118 14 0
10 10_196 Left-Thalamus-Proper 0 118 14 0
10 10_197 Left-Thalamus-Proper 0 118 14 0
10 10_198 Left-Thalamus-Proper 0 118 14 0
10 10_199 Left-Thalamus-Proper 0 118 14 0
10 10_200 Left-Thalamus-Proper 0 118 14 0
10 10_201 Left-Thalamus-Proper 0 118 14 0
10 10_202 Left-Thalamus-Proper 0 118 14 0
10 10_203 Left-Thalamus-Proper 0 118 14 0
10 10_204 Left-Thalamus-Proper 0 118 14 0
10 10_205 Left-Thalamus-Proper 0 118 14 0
10 10_206 Left-Thalamus-Proper 0 118 14 0
10 10_207 Left-Thalamus-Proper 0 118 14 0
10 10_208 Left-Thalamus-Proper 0 118 14 0
10 10_209 Left-Thalamus-Proper 0 118 14 0
10 10_210 Left-Thalamus-Proper 0 118 14 0
10 10_211 Left-Thalamus-Proper 0 118 14 0
10 10_212 Left-Thalamus-Proper 0 118 14 0
10 10_213 Left-Thalamus-Proper 0 118 14 0
10 10_214 Left-Thalamus-Proper 0 118 14 0
10 10_215 Left-Thalamus-Proper 0 118 14 0
10 10_216 Left-Thalamus-Proper 0 118 14 0
10 10_217 Left-Thalamus-Proper 0 118 14 0
10 10_218 Left-Thalamus-Proper 0 118 14 0
10 10_219 Left-Thalamus-Proper 0 118 14 0
10 10_220 Left-Thalamus-Proper 0 118 14 0
10 10_221 Left-Thalamus-Proper 0 118 14 0
10 10_222 Left-Thalamus-Proper 0 118 14 0
10 10_223 Left-Thalamus-Proper 0 118 14 0
10 10_224 Left-Thalamus-Proper 0 118 14 0
10 10_225 Left-Thalamus-Proper 0 118 14 0
10 10_226 Left-Thalamus-Proper 0 118 14 0
10 10_227 Left-Thalamus-Proper 0 118 14 0
10 10_228 Left-Thalamus-Proper 0 118 14 0
10 10_229 Left-Thalamus-Proper 0 118 14 0
10 10_230 Left-Thalamus-Proper 0 118 14 0
10 10_231 Left-Thalamus-Proper 0 118 14 0
10 10_232 Left-Thalamus-Proper 0 118 14 0
10 10_233 Left-Thalamus-Proper 0 118 14 0
10 10_234 Left-Thalamus-Proper 0 118 14 0
10 10_235 Left-Thalamus-Proper 0 118 14 0
10 10_236 Left-Thalamus-Proper 0 118 14 0
10 10_237 Left-Thalamus-Proper 0 118 14 0
10 10_238 Left-Thalamus-Proper 0 118 14 0
10 10_239 Left-Thalamus-Proper 0 118 14 0
10 10_240 Left-Thalamus-Proper 0 118 14 0
10 10_241 Left-Thalamus-Proper 0 118 14 0
10 10_242 Left-Thalamus-Proper 0 118 14 0
10 10_243 Left-Thalamus-Proper 0 118 14 0
10 10_244 Left-Thalamus-Proper 0 118 14 0
10 10_245 Left-Thalamus-Proper 0 118 14 0
10 10_246 Left-Thalamus-Proper 0 118 14 0
10 10_247 Left-Thalamus-Proper 0 118 14 0
10 10_248 Left-Thalamus-Proper 0 118 14 0
10 10_249 Left-Thalamus-Proper 0 118 14 0
10 10_250 Left-Thalamus-Proper 0 118 14 0
10 10_251 Left-Thalamus-Proper 0 118 14 0
10 10_252 Left-Thalamus-Proper 0 118 14 0
10 10_253 Left-Thalamus-Proper 0 118 14 0
10 10_254 Left-Thalamus-Proper 0 118 14 0
10 10_255 Left-Thalamus-Proper 0 118 14 0
10 10_256 Left-Thalamus-Proper 0 118 14 0
10 10_257 Left-Thalamus-Proper 0 118 14 0
10 10_258 Left-Thalamus-Proper 0 118 14 0
10 10_259 Left-Thalamus-Proper 0 118 14 0
10 10_260 Left-Thalamus-Proper 0 118 14 0
10 10_261 Left-Thalamus-Proper 0 118 14 0
10 10_262 Left-Thalamus-Proper 0 118 14 0
10 10_263 Left-Thalamus-Proper 0 118 14 0
10 10_264 Left-Thalamus-Proper 0 118 14 0
10 10_265 Left-Thalamus-Proper 0 118 14 0
10 10_266 Left-Thalamus-Proper 0 118 14 0
10 10_267 Left-Thalamus-Proper 0 118 14 0
10 10_268 Left-Thalamus-Proper 0 118 14 0
10 10_269 Left-Thalamus-Proper 0 118 14 0
10 10_270 Left-Thalamus-Proper 0 118 14 0
10 10_271 Left-Thalamus-Proper 0 118 14 0
10 10_272 Left-Thalamus-Proper 0 118 14 0
10 10_273 Left-Thalamus-Proper 0 118 14 0
10 10_274 Left-Thalamus-Proper 0 118 14 0
10 10_275 Left-Thalamus-Proper 0 118 14 0
10 10_276 Left-Thalamus-Proper 0 118 14 0
10 10_277 Left-Thalamus-Proper 0 118 14 0
10 10_278 Left-Thalamus-Proper 0 118 14 0
10 10_279 Left-Thalamus-Proper 0 118 14 0
10 10_280 Left-Thalamus-Proper 0 118 14 0
10 10_281 Left-Thalamus-Proper 0 118 14 0
10 10_282 Left-Thalamus-Proper 0 118 14 0
10 10_283 Left-Thalamus-Proper 0 118 14 0
10 10_284 Left-Thalamus-Proper 0 118 14 0
10 10_285 Left-Thalamus-Proper 0 118 14 0
10 10_286 Left-Thalamus-Proper 0 118 14 0
10 10_287 Left-Thalamus-Proper 0 118 14 0
10 10_288 Left-Thalamus-Proper 0 118 14 0
10 10_289 Left-Thalamus-Proper 0 118 14 0
10 10_290 Left-Thalamus-Proper 0 118 14 0
10 10_291 Left-Thalamus-Proper 0 118 14 0
10 10_292 Left-Thalamus-Proper 0 118 14 0
10 10_293 Left-Thalamus-Proper 0 118 14 0
10 10_294 Left-Thalamus-Proper 0 118 14 0
10 10_295 Left-Thalamus-Proper 0 118 14 0
10 10_296 Left-Thalamus-Proper 0 118 14 0
10 10_297 Left-Thalamus-Proper 0 118 14 0
10 10_298 Left-Thalamus-Proper 0 118 14 0
10 10_299 Left-Thalamus-Proper 0 118 14 0
10 10_300 Left-Thalamus-Proper 0 118 14 0
10 10_301 Left-Thalamus-Proper 0 118 14 0
10 10_302 Left-Thalamus-Proper 0 118 14 0
10 10_303 Left-Thalamus-Proper 0 118 14 0
10 10_304 Left-Thalamus-Proper 0 118 14 0
10 10_305 Left-Thalamus-Proper 0 118 14 0
10 10_306 Left-Thalamus-Proper 0 118 14 0
10 10_307 Left-Thalamus-Proper 0 118 14 0
10 10_308 Left-Thalamus-Proper 0 118 14 0
10 10_309 Left-Thalamus-Proper 0 118 14 0
10 10_310 Left-Thalamus-Proper 0 118 14 0
10 10_311 Left-Thalamus-Proper 0 118 14 0
10 10_312 Left-Thalamus-Proper 0 118 14 0
10 10_313 Left-Thalamus-Proper 0 118 14 0
10 10_314 Left-Thalamus-Proper 0 118 14 0
10 10_315 Left-Thalamus-Proper 0 118 14 0
10 10_316 Left-Thalamus-Proper 0 118 14 0
10 10_317 Left-Thalamus-Proper 0 118 14 0
10 10_318 Left-Thalamus-Proper 0 118 14 0
10 10_319 Left-Thalamus-Proper 0 118 14 0
10 10_320 Left-Thalamus-Proper 0 118 14 0
10 10_321 Left-Thalamus-Proper 0 118 14 0
10 10_322 Left-Thalamus-Proper 0 118 14 0
10 10_323 Left-Thalamus-Proper 0 118 14 0
10 10_324 Left-Thalamus-Proper 0 118 14 0
10 10_325 Left-Thalamus-Proper 0 118 14 0
10 10_326 Left-Thalamus-Proper 0 118 14 0
10 10_327 Left-Thalamus-Proper 0 118 14 0
10 10_328 Left-Thalamus-Proper 0 118 14 0
10 10_329 Left-Thalamus-Proper 0 118 14 0
10 10_330 Left-Thalamus-Proper 0 118 14 0
10 10_331 Left-Thalamus-Proper 0 118 14 0
10 10_332 Left-Thalamus-Proper 0 118 14 0
10 10_333 Left-Thalamus-Proper 0 118 14 0
10 10_334 Left-Thalamus-Proper 0 118 14 0
10 10_335 Left-Thalamus-Proper 0 118 14 0
10 10_336 Left-Thalamus-Proper 0 118 14 0
10 10_337 Left-Thalamus-Proper 0 118 14 0
10 10_338 Left-Thalamus-Proper 0 118 14 0
10 10_339 Left-Thalamus-Proper 0 118 14 0
10 10_340 Left-Thalamus-Proper 0 118 14 0
10 10_341 Left-Thalamus-Proper 0 118 14 0
10 10_342 Left-Thalamus-Proper 0 118 14 0
10 10_343 Left-Thalamus-Proper 0 118 14 0
10 10_344 Left-Thalamus-Proper 0 118 14 0
10 10_345 Left-Thalamus-Proper 0 118 14 0
10 10_346 Left-Thalamus-Proper 0 118 14 0
10 10_347 Left-Thalamus-Proper 0 118 14 0
10 10_348 Left-Thalamus-Proper 0 118 14 0
10 10_349 Left-Thalamus-Proper 0 118 14 0
10 10_350 Left-Thalamus-Proper 0 118 14 0
10 10_351 Left-Thalamus-Proper 0 118 14 0
10 10_352 Left-Thalamus-Proper 0 118 14 0
10 10_353 Left-Thalamus-Proper 0 118 14 0
10 10_354 Left-Thalamus-Proper 0 118 14 0
10 10_355 Left-Thalamus-Proper 0 118 14 0
10 10_356 Left-Thalamus-Proper 0 118 14 0
10 10_357 Left-Thalamus-Proper 0 118 14 0
10 10_358 Left-Thalamus-Proper 0 118 14 0
10 10_359 Left-Thalamus-Proper 0 118 14 0
10 10_360 Left-Thalamus-Proper 0 118 14 0
10 10_361 Left-Thalamus-Proper 0 118 14 0
10 10_362 Left-Thalamus-Proper 0 118 14 0
10 10_363 Left-Thalamus-Proper 0 118 14 0
10 10_364 Left-Thalamus-Proper 0 118 14 0
10 10_365 Left-Thalamus-Proper 0 118 14 0
